,AGE_REF,TOTEXPPQ,ALCBEVPQ,READPQ,APPARPQ,ENTERTPQ
3449784,31,6977.75,750,149,60,329
3449944,76,13595,45,17,194,249
3450034,29,12193.75,60,200,88,297
3450174,72,3935.8001,15,12,10,234
3450234,37,33058.0002,443,30,1188,1769
3450374,67,6006,240,15,22,678
3450394,29,15213.25,67,60,1400,454
3450444,60,27465,300,75,826,3243
3450594,56,41536.2502,465,55,360,1554
3450624,81,9506,90,108,137,471
3461074,87,18214,300,489,307,274
3461784,43,8164.7667,40,10,149,461
3461944,57,10728.3334,40,60,93,835
3462584,64,15411.6667,100,30,268,1057
3462864,36,16031.4999,70,10,97,146
3463104,74,8164.3333,176,49,323,213
3463594,71,21861.5244,510,32,150,1926
3463754,70,11647.6667,20,120,100,185
3463854,59,14704.8333,160,85,180,741
3463904,68,10379.0667,640,45,80,334
3464694,55,7161.8333,120,10,15,352
3465024,71,7348.2001,85,25,245,154
3465064,50,21185.2245,192,100,1249,3865
3465124,80,4311,310,74,397.6667,242
3465204,67,10006,204,60,105,823
3465474,40,11902.8333,100,29,583.3333,265
3465564,61,29925.8831,22,43,11.3333,984
3465604,52,19538.3333,370,19,923,1656
3465614,46,9239.8333,150,17,200,200
3465874,24,6468.3333,40,10,61,100
3466164,81,2721.3333,50,35,14,256
3466194,78,3682.3333,40,95,70,196
3466274,52,8811.3333,120,32,61,234
3466524,40,7866.6333,40,40,150,360
3467724,52,8931.1667,40,40,60,1197
3468164,69,5554.6667,100,94,170,376
3468444,51,28395.5578,200,80,160,180
3468634,40,11251.3333,180,10,80,782
3468854,87,7303.3333,220,95,59,190
3469304,63,7527.7667,40,30,50,322
3469354,26,12646.3333,14,60,338,208
3469494,40,14621.6332,151,90,106,464
3469624,34,17470.6667,462,60,188,2578
3469714,52,7507.6667,300,66,212,120
3469794,50,11505.1667,130,100,118.6667,100
3469904,67,7043.9666,100,69,141,176
3470084,78,11822.5333,220,65,104,259
3470124,34,6887,155,34,32,759
3470364,60,13221.3334,530,12,316,200
3470604,56,6998.2,230,259,75,40
3470654,69,15331.1667,10,40,65,460
